Region,Country,IncomeGroup,IDAStatus,TypeofPPI,Sector,InvestmentYear,TotalInvestment,InvestmentRange,SubtypeOfPPI,FinancialClosureYear,ProjectFinYear,pppProject,mdbSupport,GDP,Inflation,ProjectStatus
2,4,2,2,0,11,2001,29.861862,3,3,1998,2001,1,1,26.9,-1.095768,1
2,4,2,2,3,7,2001,29.861862,3,5,2001,2001,1,1,26.9,-1.095768,0
2,4,2,2,0,0,2001,42.2,3,3,2001,2001,1,1,26.9,-1.095768,0
2,4,2,2,0,11,2000,29.861862,3,3,1998,2000,1,1,28.4,1.037287,1
2,4,2,2,0,11,1999,31.8,3,3,1998,1999,1,1,28.4,-1.836558,1
2,4,2,2,0,7,1994,80,3,12,1994,1994,1,1,25.7,2.84934,0
2,4,2,2,0,8,1999,2000,1,11,1995,1999,1,0,28.4,-1.836558,0
2,4,2,2,0,8,1995,488.2,0,11,1995,1995,1,0,25.8,3.165123,0
2,4,2,2,0,11,1993,4000,4,3,1993,1993,1,0,23.7,-3.561096,1
2,4,2,2,0,3,2010,29.861862,3,3,1995,2010,1,1,42.4,20.915124,0
2,4,2,2,0,3,2009,29.861862,3,3,1995,2009,1,1,33.3,15.377649,0
2,4,2,2,0,3,2008,29.861862,3,3,1995,2008,1,1,36.2,23.171165,0
2,4,2,2,0,3,2007,29.861862,3,3,1995,2007,1,1,28.8,14.939925,0
2,4,2,2,0,3,2006,29.861862,3,3,1995,2006,1,1,23.3,13.741052,0
2,4,2,2,0,3,1995,13.7,3,3,1995,1995,1,1,25.8,3.165123,0
2,4,2,2,0,3,1994,76.9,3,3,1994,1994,1,1,25.7,2.84934,0
2,4,2,2,0,3,2010,29.861862,3,3,1996,2010,1,1,42.4,20.915124,0
2,4,2,2,0,3,2009,29.861862,3,3,1996,2009,1,1,33.3,15.377649,0
2,4,2,2,0,3,2007,29.861862,3,3,1996,2007,1,1,28.8,14.939925,0
2,4,2,2,2,3,2019,475,0,2,2019,2019,1,1,44.8,49.195579,0
2,4,2,2,0,3,2006,29.861862,3,3,1996,2006,1,1,23.3,13.741052,0
2,4,2,2,0,3,1996,45,3,3,1996,1996,1,1,27.2,-0.052375,0
2,4,2,2,1,3,2004,29.861862,3,4,1992,2004,0,1,16.5,18.363354,0
2,4,2,2,1,3,1994,200,0,4,1992,1994,0,1,25.7,2.84934,0
2,4,2,2,1,3,1992,240.1,0,4,1992,1992,0,1,22.9,16.071994,0
2,4,2,2,0,3,1995,225.6,0,3,1995,1995,1,1,25.8,3.165123,0
2,4,2,2,0,3,1996,160.9,0,3,1996,1996,1,1,27.2,-0.052375,1
2,4,2,2,2,3,2011,10,3,2,2011,2011,1,1,53,23.703472,0
2,4,2,2,2,3,2023,80,3,8,2023,2023,1,1,64.1,133.839867,0
2,4,2,2,0,8,2000,4.4,3,12,2000,2000,1,1,28.4,1.037287,2
2,4,2,2,2,3,2000,180,0,7,2000,2000,0,1,28.4,1.037287,0
2,4,2,2,2,7,1995,100,0,1,1995,1995,1,0,25.8,3.165123,0
2,4,2,2,0,3,2000,113.3,0,3,1992,2000,1,0,28.4,1.037287,3
2,4,2,2,0,9,1990,29.861862,3,12,1990,1990,1,1,14.1,2078.316818,2
2,4,2,2,2,9,1997,350,0,1,1997,1997,1,0,29.3,-0.463913,0
2,4,2,2,0,9,1990,44,3,12,1990,1990,1,1,14.1,2078.316818,2
2,4,2,2,0,9,1990,243,0,12,1990,1990,1,1,14.1,2078.316818,0
2,4,2,2,0,9,1990,54,3,12,1990,1990,1,1,14.1,2078.316818,2
2,4,2,2,0,9,1990,42,3,12,1990,1990,1,1,14.1,2078.316818,2
2,4,2,2,0,9,1990,154,0,12,1990,1990,1,1,14.1,2078.316818,2
2,4,2,2,0,9,1990,56,3,12,1990,1990,1,1,14.1,2078.316818,2
2,4,2,2,0,9,1990,132,0,12,1990,1990,1,1,14.1,2078.316818,2
2,4,2,2,0,9,1990,300,0,12,1990,1990,1,1,14.1,2078.316818,2
2,4,2,2,0,8,1992,344.3,0,11,1992,1992,1,0,22.9,16.071994,0
2,4,2,2,0,9,1993,158,0,3,1993,1993,1,0,23.7,-3.561096,0
2,4,2,2,0,9,2008,29.861862,3,3,2008,2008,1,1,36.2,23.171165,1
2,4,2,2,1,7,1996,30,3,4,1996,1996,0,1,27.2,-0.052375,0
2,4,2,2,2,3,1997,90,3,7,1997,1997,0,1,29.3,-0.463913,3
2,4,2,2,0,9,1996,460,0,3,1996,1996,1,0,27.2,-0.052375,0
2,4,2,2,2,3,1997,230,0,7,1997,1997,0,1,29.3,-0.463913,3
2,4,2,2,2,3,2019,172.4,0,7,2019,2019,0,1,44.8,49.195579,0
2,4,2,2,1,4,1990,650,2,4,1990,1990,0,0,14.1,2078.316818,0
2,4,2,2,0,9,1990,493,0,3,1990,1990,1,1,14.1,2078.316818,0
2,4,2,2,0,11,1998,29.861862,3,3,1998,1998,1,1,29.9,-1.70528,1
2,4,2,2,0,9,1995,27,3,3,1995,1995,1,1,25.8,3.165123,2
2,4,2,2,0,7,2012,16,3,12,1994,2012,1,1,54.6,22.314881,0
2,4,2,2,0,3,2001,136.8,0,3,1992,2001,1,0,26.9,-1.095768,3
2,4,2,2,0,3,2002,25,3,3,1992,2002,1,0,9.772400425,30.555204,3
2,4,2,2,2,3,1998,260,0,2,1998,1998,1,1,29.9,-1.70528,0
2,4,2,2,0,8,1999,225,0,12,1999,1999,1,1,28.4,-1.836558,3
2,4,2,2,0,3,2008,29.861862,3,3,1992,2008,1,1,36.2,23.171165,3
2,4,2,2,2,3,2017,313.5,0,2,2017,2017,1,1,64.4,26.006379,0
2,4,2,2,2,3,2013,778,2,2,2013,2013,1,1,55.2,23.948798,0
2,4,2,2,0,9,1995,6,3,12,1995,1995,1,1,25.8,3.165123,1
2,4,2,2,2,3,2008,205,0,7,2008,2008,0,1,36.2,23.171165,0
2,4,2,2,0,11,1994,1.9,3,3,1994,1994,1,1,25.7,2.84934,0
